,Source,Target,book,chapter
0,Ciri,Geralt,1,4
1,Geralt,Ciri,1,4
2,Baron,Dandelion,1,4
3,Dandelion,Geralt,1,4
4,Dandelion,Yennefer,1,4
5,Geralt,Yennefer,1,4
6,Geralt,Dandelion,1,4
7,Yennefer,Dandelion,1,4
8,Yennefer,Geralt,1,4
9,Dandelion,Baron,1,4
10,Geralt,Baron,1,4
11,Dandelion,Sheldon,1,4
12,Dandelion,Donimir,1,4
13,Sheldon,Donimir,1,4
14,Donimir,Sheldon,1,4
15,Donimir,Two,1,4
16,Two,Dandelion,1,4
17,Calanthe,Dandelion,1,4
18,Dandelion,Calanthe,1,4
19,Sheldon,Baron,1,4
20,Sheldon,Dandelion,1,4
21,Baron,Sheldon,1,4
22,Little,Dandelion,1,4
23,Dandelion,Rience,1,4
24,Rience,Dandelion,1,4
25,Ciri,Dandelion,1,4
26,Rience,Ciri,1,4
27,Dandelion,Ciri,1,4
28,Ciri,Rience,1,4
29,Rience,Geralt,1,4
30,Dandelion,Sir,1,4
31,Sir,Rience,1,4
32,Sir,Dandelion,1,4
33,Rience,Yennefer,1,4
34,King,Dandelion,1,4
35,Yennefer,Calanthe,1,4
36,Geralt,Calanthe,1,4
37,Calanthe,Geralt,1,4
38,Calanthe,Rience,1,4
39,Geralt,Rience,1,4
40,Yennefer,Rience,1,4
41,Ciri,Yennefer,1,4
42,Ciri,Roach,1,4
43,Eskel,Ciri,1,4
44,Ciri,Eskel,1,4
45,Eskel,Roach,1,4
46,Roach,Ciri,1,4
47,Roach,Eskel,1,4
48,Ciri,Lambert,1,4
49,Lambert,Ciri,1,4
50,Ciri,Vesemir,1,4
51,Vesemir,Geralt,1,4
