,chapter-3.txt,chapter-2.txt,chapter-0.txt,chapter-1.txt,chapter-5.txt,chapter-4.txt,chapter-6.txt,chapter-7.txt
Ekkehard,0,0,0,0,0,0,1,0
Venzlav,0,0,0,0,0,0,1,0
Vanielle,1,0,0,0,0,0,0,0
Hereward,0,0,0,0,0,0,0,0
Meve,0,0,0,0,0,0,1,0
Emhyr,0,0,0,0,0,0,1,0
Duke,0,0,0,0,0,0,1,1
Keira,1,0,0,0,0,0,0,0
Philippa,0,0,0,0,1,0,1,0
Rayla,0,0,0,1,0,0,0,0
Herbert,0,0,0,0,0,0,0,0
Vesemir,1,1,0,1,0,0,0,1
Henselt,0,0,0,0,0,1,1,1
Shani,0,0,0,0,1,0,1,0
Niedamir,0,0,0,1,0,0,1,0
Vissegerd,0,0,0,0,0,0,1,0
Witcher,0,1,1,1,1,1,0,1
Roach,0,0,0,1,0,1,0,0
Anséis,0,0,0,0,0,0,0,0
Ethain,0,0,0,0,0,0,1,0
Artaud,1,0,0,0,0,0,1,0
Yarpen,0,0,0,0,0,1,0,1
Aelirenn,0,0,0,0,0,1,0,0
Demavend,0,0,0,0,0,0,0,0
Yennefer,1,1,0,1,1,1,1,1
Calanthe,1,1,0,1,0,1,1,1
Zyvik,0,0,0,0,0,1,0,0
Eskel,1,1,0,1,0,0,0,1
Geralt,1,1,1,1,1,1,1,1
Eist,0,0,0,1,0,0,1,1
Donimir,0,0,0,1,0,0,0,0
Maria,0,0,0,0,0,0,0,0
Dandelion,0,0,1,1,1,0,1,1
Menno,0,0,0,0,0,0,1,0
Gerhart,0,0,0,0,0,0,0,0
Fercart,1,0,0,0,0,0,1,0
Esterad,0,0,0,1,0,0,1,0
Lambert,1,1,0,1,0,0,0,1
Rience,0,0,0,1,1,0,1,0
Essi,0,0,0,0,0,0,0,1
Sigismund,0,0,0,0,0,0,0,0
Nenneke,0,1,0,0,1,0,1,1
Ithlinne,0,0,0,0,0,0,1,1
Crach,0,0,0,0,0,0,1,1
Jarre,0,0,0,0,0,0,0,1
Sheldon,0,0,0,1,0,0,0,0
Tissaia,0,0,0,0,0,0,1,0
Ciri,1,1,1,1,1,1,1,1
Coën,0,0,0,0,0,0,0,0
Cahir,0,0,0,0,0,0,0,0
Iola,0,0,0,0,1,0,0,1
Windhalm,0,0,0,0,0,0,1,0
Virfuril,0,0,0,0,0,0,1,0
Xavier,0,0,0,0,0,1,0,0
Yannick,0,0,0,0,0,1,0,0
Triss,1,1,0,0,1,1,1,1
Lydia,0,0,0,0,0,0,1,0
Foltest,1,0,0,1,1,0,1,1
Lytta,0,0,0,0,0,0,0,0
Ori,1,0,0,0,1,0,0,0
Bronibor,0,0,0,0,0,0,0,1
Podveyka,0,0,0,0,0,0,0,0
Villem,0,0,0,0,0,0,0,0
Regan,0,0,0,0,0,1,0,0
Pavetta,1,0,0,1,0,0,1,1
Francesca,0,0,0,0,0,0,1,1
Carduin,0,0,0,0,0,0,1,0
Vilgefortz,1,0,0,0,0,0,1,1
Everett,0,0,0,0,1,0,0,0
Paulie,0,0,0,0,0,1,0,0
