,chapter-3.txt,chapter-2.txt,chapter-1.txt,chapter-5.txt,chapter-4.txt,chapter-6.txt,chapter-7.txt
Detmold,0,0,0,0,0,0,0
Sabrina,1,0,1,0,1,0,0
Hoët,0,0,0,0,0,0,0
Niedamir,0,0,0,0,0,0,0
Stefan,0,0,0,1,0,0,1
Asse,0,0,0,0,0,0,1
Witcher,1,1,1,0,1,1,0
Korin,0,0,0,0,0,0,0
Yarpen,0,1,0,0,0,0,0
Zyvik,0,0,0,0,0,0,0
Codringher,1,0,1,1,1,0,0
Eithné,0,0,0,0,0,0,0
Two,1,1,1,1,1,1,1
Mistle,0,0,0,0,0,0,1
Dorregaray,1,0,0,0,1,0,0
Ciri,1,1,1,1,1,1,1
Yaevinn,0,1,1,0,0,0,0
Bronibor,0,0,0,1,0,0,0
Fabio,0,1,0,0,0,1,0
Pavetta,0,0,1,0,1,0,0
Horm,0,0,1,0,0,0,0
Meve,0,0,1,1,1,0,0
Emhyr,0,1,1,1,1,0,1
Jan,0,0,0,0,1,0,0
Ceallach,0,0,0,1,1,0,0
Heimo,0,0,1,0,0,0,0
Roegner,0,0,1,0,0,0,0
Rudiger,0,0,0,0,0,0,1
Fauve,0,0,0,1,0,0,0
Raffard,1,0,0,0,1,0,0
Yennefer,1,1,1,1,1,1,1
Eist,0,0,1,0,0,0,0
Dandelion,1,1,1,1,1,1,0
Gerhart,1,0,0,0,0,0,0
Lambert,0,0,0,0,0,1,0
Rience,1,0,1,1,1,0,0
Nenneke,0,1,0,0,0,1,0
Jarre,0,1,0,0,0,1,0
Tissaia,1,1,0,1,1,1,0
Iskra,0,0,0,0,0,0,1
Cahir,0,0,0,1,1,0,0
Triss,1,0,0,1,1,1,0
Toruviel,0,0,1,0,0,0,0
Vattier,0,0,0,1,0,0,0
Leticia,1,0,0,0,0,0,0
Eredin,0,0,0,0,0,0,0
Paulie,0,0,0,0,0,1,0
Xarthisius,0,0,0,1,0,0,0
Philippa,1,0,1,0,1,0,0
Herbert,1,0,0,0,0,0,0
Vissegerd,0,0,1,0,0,0,0
Roach,0,0,0,0,0,0,0
Akerspaark's,0,0,0,0,0,0,0
Demavend,0,1,1,1,1,0,0
Ardal,0,0,0,1,0,0,0
Geralt,1,1,1,1,1,1,1
Blue,0,0,0,0,0,0,1
Eskel,0,0,0,0,0,1,0
Menno,0,0,0,1,0,0,0
Fercart,1,0,0,0,1,0,0
Esterad,1,0,0,1,1,0,0
Ithlinne,0,0,1,0,1,0,0
Stella,0,0,0,1,0,0,0
Coën,0,0,0,0,0,0,0
Morvran,0,0,0,0,1,0,0
King,1,1,1,1,1,0,0
Jacob,0,0,1,0,0,0,0
Elan,0,0,0,1,0,0,0
Francesca,1,0,0,1,1,0,0
Carduin,1,0,0,0,1,0,0
Vilgefortz,1,0,1,1,1,1,0
Milva,0,0,0,0,0,0,0
Voymir,0,0,0,0,1,0,0
Venzlav,0,0,0,1,0,0,0
Keira,1,0,0,0,1,0,0
Molnar,0,1,0,0,0,0,0
Rayla,0,1,0,1,0,0,0
Vesemir,0,0,0,0,0,1,0
Henselt,1,0,1,1,1,0,0
Ethain,1,0,0,0,1,0,0
Artaud,1,0,0,0,1,0,0
Cirilla,1,0,1,1,1,1,0
Ihuarraquax,0,0,0,0,0,1,0
Margarita,0,1,0,0,1,1,0
Aplegatt,0,0,1,0,0,0,0
Sir,0,0,0,1,0,0,1
Calanthe,0,0,1,0,1,1,0
Little,0,1,1,0,0,1,1
Sigismund,0,0,0,0,1,0,0
Filavandrel,0,0,0,1,0,0,0
Joachim,0,0,0,0,0,0,0
Schirrú,0,0,0,0,0,0,0
Marti,1,0,0,0,1,0,0
Lydia,1,0,0,0,1,0,0
Falka,1,1,0,0,1,1,1
Akerspaark,0,0,1,0,0,0,0
Foltest,0,1,1,1,1,0,0
Kayleigh,0,0,0,0,0,0,1
Ralf,0,0,1,0,0,0,0
