,Source,Target,book,chapter
0,Two,Dandelion,0,2
1,Dandelion,Geralt,0,2
2,Geralt,Dandelion,0,2
3,Dandelion,Roach,0,2
4,Roach,Dandelion,0,2
5,Dandelion,Riordain,0,2
6,Aen,Dandelion,0,2
7,Aen,Geralt,0,2
8,Geralt,Milva,0,2
9,Dandelion,Milva,0,2
10,Milva,Dandelion,0,2
11,Milva,Geralt,0,2
12,Milva,Ciri,0,2
13,Geralt,Ciri,0,2
14,Dandelion,Ciri,0,2
15,Ciri,Milva,0,2
16,Milva,Emhyr,0,2
17,Emhyr,Milva,0,2
18,Emhyr,Ciri,0,2
19,Ciri,Geralt,0,2
20,Ciri,Emhyr,0,2
21,Geralt,Emhyr,0,2
22,Geralt,Roach,0,2
23,Milva,Roach,0,2
24,Dandelion,Zoltan,0,2
25,Milva,Zoltan,0,2
26,Milva,Field,0,2
27,Zoltan,Field,0,2
28,Field,Percival,0,2
29,Field,Zoltan,0,2
30,Percival,Zoltan,0,2
31,Geralt,Zoltan,0,2
32,Zoltan,Milva,0,2
33,Zoltan,Munro,0,2
34,Zoltan,Figgis,0,2
35,Munro,Figgis,0,2
36,Munro,Zoltan,0,2
37,Figgis,Zoltan,0,2
38,Figgis,Geralt,0,2
39,Figgis,Dandelion,0,2
40,Zoltan,Geralt,0,2
41,Zoltan,Dandelion,0,2
42,Dandelion,Figgis,0,2
43,Figgis,Milva,0,2
44,Milva,Percival,0,2
45,Percival,Geralt,0,2
46,Munro,Geralt,0,2
47,Geralt,Field,0,2
48,Field,Milva,0,2
49,Zoltan,Percival,0,2
50,Ciri,Dandelion,0,2
51,Milva,Maria,0,2
52,Maria,Milva,0,2
53,Maria,Zoltan,0,2
54,Geralt,Percival,0,2
55,Munro,Percival,0,2
56,Percival,Milva,0,2
57,Cahir,Zoltan,0,2
58,Zoltan,Ciri,0,2
59,Geralt,Cahir,0,2
