,chapter-3.txt,chapter-2.txt,chapter-1.txt,chapter-5.txt,chapter-4.txt,chapter-6.txt,chapter-7.txt
Sabrina,0,0,1,0,0,1,0
Papebrock,0,0,0,0,0,0,0
Stefan,0,0,1,1,0,1,0
Asse,1,0,1,1,1,1,0
Witcher,1,1,1,1,1,0,1
Ida,0,0,0,0,0,1,0
Istredd,0,0,1,0,0,0,0
Riordain,0,1,0,0,0,0,0
Isengrim,0,0,0,1,0,0,0
Aglaïs,0,0,0,0,0,0,0
Brouver,1,0,0,0,0,0,0
Vanadain,0,0,0,0,0,1,0
Codringher,0,0,1,1,0,0,0
Eithné,0,0,0,0,0,0,0
Connor,0,0,0,0,0,0,1
Mistle,1,0,1,1,1,1,0
Ciri,1,1,1,1,1,1,1
Ori,0,0,1,0,0,0,0
Radovid,0,0,0,0,0,0,0
Assire,0,0,1,1,0,1,0
Zoltan,1,1,0,1,1,0,1
Simlas,0,0,0,0,0,0,0
Meve,0,0,0,0,0,0,1
Emhyr,1,1,1,1,1,1,0
Jan,0,0,0,1,0,0,0
Ceallach,1,1,1,1,0,1,1
Fauve,0,0,1,0,0,0,0
Yennefer,1,0,1,1,0,1,1
Dandelion,1,1,1,1,1,0,1
Havekar,0,0,0,0,0,0,0
Gerhart,0,0,0,0,0,0,0
Rience,0,0,0,1,0,1,0
Tissaia,0,0,0,0,0,1,0
Anzelm,0,0,0,0,1,0,0
Iskra,0,0,0,0,1,1,0
Sirssa,0,0,1,0,0,0,0
Cahir,1,1,1,1,0,1,1
Crispin,0,0,0,0,0,1,0
Triss,0,0,1,0,0,1,0
Shilard,0,0,1,0,0,0,0
Toruviel,0,0,1,0,0,0,0
Vattier,0,0,1,1,0,1,0
Leticia,0,0,0,0,0,1,0
Albrich,0,0,0,1,0,0,0
Xarthisius,0,0,0,1,0,0,0
Percival,1,1,0,1,1,0,1
Philippa,0,1,1,1,0,1,0
Reynard,0,0,0,0,0,0,0
Vissegerd,0,0,0,1,1,0,1
Aen,0,1,1,0,0,1,0
Roach,0,1,0,1,0,0,1
Merlin,0,0,0,1,0,0,0
Sheala,0,0,1,0,0,0,0
Demavend,0,0,0,1,0,0,0
Daniel,0,0,0,0,1,0,0
Baron,0,0,0,1,0,1,0
Geralt,1,1,1,1,1,1,1
Robert,0,0,0,0,0,1,0
Ithlinne,0,0,0,0,0,1,0
Stella,0,0,0,1,0,0,0
Adalia,0,0,0,0,1,1,0
Iorweth,0,0,0,0,0,0,0
Emiel,1,0,0,1,1,0,1
Jacob,0,0,0,0,0,0,0
Fringilla,0,0,0,1,0,1,0
Morteisen,0,0,0,0,1,0,1
Field,1,1,0,0,1,0,1
Elan,0,0,0,0,1,0,0
Francesca,0,0,1,1,0,1,0
Carduin,0,0,1,0,0,0,0
Vilgefortz,0,0,1,1,0,1,1
Milva,1,1,1,1,1,0,1
Leo,0,0,0,0,0,0,0
Keira,0,0,1,0,0,1,0
Vreemde,0,0,0,0,1,0,0
Figgis,1,1,0,0,0,0,1
Henselt,0,0,1,0,0,1,0
Nimue,0,0,0,0,0,0,1
Ethain,0,0,0,0,0,0,1
Artaud,0,0,1,0,0,0,0
Cirilla,0,0,1,1,1,1,0
Margarita,0,0,1,0,0,1,0
Calanthe,0,0,0,0,1,1,0
Sigismund,0,0,1,0,1,0,0
Aubry,0,0,0,0,1,0,0
Sievers,0,0,0,0,0,0,0
Schirrú,0,0,0,0,0,0,0
Falka,1,0,1,1,1,1,1
Kayleigh,1,0,1,1,1,1,0
Munro,1,1,0,0,1,0,1
