,Source,Target,book,chapter
0,Geralt,Cahir,4,5
1,Geralt,Milva,4,5
2,Geralt,Dandelion,4,5
3,Cahir,Milva,4,5
4,Cahir,Dandelion,4,5
5,Milva,Dandelion,4,5
6,Milva,Geralt,4,5
7,Dandelion,Geralt,4,5
8,Dandelion,Vissegerd,4,5
9,Vissegerd,Meve,4,5
10,Dandelion,Cahir,4,5
11,Ciri,Cahir,4,5
12,Cahir,Ciri,4,5
13,Cahir,Geralt,4,5
14,Ciri,Emhyr,4,5
15,Ciri,Geralt,4,5
16,Emhyr,Cahir,4,5
17,Emhyr,Geralt,4,5
18,Milva,Cahir,4,5
19,Two,Cahir,4,5
20,Yennefer,Vysogota,4,5
21,Geralt,Yennefer,4,5
22,Geralt,Vysogota,4,5
