,Source,Target,book,chapter
0,Puttkammer,Baron,0,8
1,Puttkammer,Field,0,8
2,Field,Puttkammer,0,8
3,Julia,Adam,0,8
4,Bronibor,Adam,0,8
5,Bronibor,Barclay,0,8
6,Adam,Barclay,0,8
7,Jarre,Field,0,8
8,Jarre,Menno,0,8
9,Field,Menno,0,8
10,Menno,Elan,0,8
11,Menno,Field,0,8
12,Elan,Field,0,8
13,Field,Ramon,0,8
14,Iola,Marti,0,8
15,Marti,Iola,0,8
16,King,Assire,0,8
17,King,Philippa,0,8
18,Assire,Philippa,0,8
19,Iola,Shani,0,8
20,Shani,Marti,0,8
21,Adam,Jarre,0,8
22,Aubry,Julia,0,8
23,Barclay,Aubry,0,8
24,Aubry,Foltest,0,8
25,Foltest,Aubry,0,8
26,Aubry,Barclay,0,8
27,Two,Barclay,0,8
28,Julia,Aubry,0,8
29,Julia,Marti,0,8
30,Marti,Shani,0,8
31,Shani,Iola,0,8
32,Menno,Isengrim,0,8
33,Isengrim,Menno,0,8
34,Menno,Iola,0,8
35,Triss,Nenneke,0,8
36,Nenneke,Triss,0,8
37,Ciri,Jarre,0,8
38,Ciri,Triss,0,8
39,Jarre,Triss,0,8
40,Marti,Daniel,0,8
41,Marti,Count,0,8
42,Daniel,Count,0,8
43,Count,Daniel,0,8
44,Count,Shani,0,8
45,Daniel,Shani,0,8
46,Adam,Julia,0,8
47,Adam,Foltest,0,8
48,Adam,Bronibor,0,8
49,Julia,Foltest,0,8
50,Julia,Bronibor,0,8
51,Foltest,Bronibor,0,8
52,Iola,Yaevinn,0,8
53,Kobus,Count,0,8
54,Puttkammer,Menno,0,8
55,Menno,Puttkammer,0,8
56,Jarre,Bronibor,0,8
57,Bronibor,Jarre,0,8
58,Field,Bronibor,0,8
59,Menno,Sievers,0,8
60,Sievers,Field,0,8
61,Zoltan,Munro,0,8
62,Zoltan,Guy,0,8
63,Munro,Guy,0,8
64,Munro,Field,0,8
65,Guy,Field,0,8
66,Jarre,Iola,0,8
67,Iola,Bronibor,0,8
68,Iola,Jarre,0,8
69,King,Meve,0,8
70,King,Ardal,0,8
71,Meve,Ardal,0,8
72,Jarre,Ciri,0,8
73,Ciri,Marti,0,8
74,Milo,Marti,0,8
