,chapter-3.txt,chapter-2.txt,chapter-1.txt,chapter-5.txt,chapter-4.txt,chapter-6.txt,chapter-7.txt,chapter-9.txt,chapter-8.txt,chapter-12.txt,chapter-10.txt,chapter-11.txt
Fergus,0,0,0,0,0,0,0,0,0,0,0,0
Avallac'h,0,0,0,0,0,0,0,0,0,0,0,0
Papebrock,0,0,0,0,0,0,0,0,0,0,0,0
Kobus,0,0,0,0,0,0,0,0,1,0,0,0
Witcher,1,1,0,0,1,1,1,1,0,1,0,0
Ida,0,1,0,0,1,0,0,0,0,0,1,1
Count,1,1,0,0,1,0,0,1,1,0,1,1
Chevron,0,0,0,0,0,0,0,0,0,0,0,0
Carthia,0,0,0,0,0,0,0,0,0,0,0,0
Isengrim,0,0,0,0,0,0,0,0,1,0,1,0
Lucienne,0,0,0,0,0,0,0,0,1,0,1,0
Brouver,0,0,0,0,0,1,0,0,0,0,0,0
Eithné,0,0,0,0,0,0,0,0,0,0,0,0
Mistle,0,0,0,1,0,0,0,0,0,1,0,0
Ciri,1,1,1,1,1,1,1,1,1,1,1,1
Anna,1,1,0,1,0,0,1,0,0,0,0,1
Lytta,0,0,0,0,0,0,0,0,0,1,0,0
Ori,0,0,0,0,0,0,0,0,0,0,1,0
Radovid,0,0,0,0,1,0,0,0,0,0,1,0
Assire,0,1,0,0,1,0,0,1,1,0,1,1
Bronibor,0,0,0,0,0,0,0,0,1,0,0,0
Dheran,0,0,0,0,0,0,0,1,0,0,0,0
Fabio,0,0,0,0,0,0,1,0,0,0,0,0
Adam,0,0,0,0,0,1,0,0,1,0,1,0
Meve,0,0,0,0,0,0,0,0,1,1,1,0
Emhyr,1,1,0,1,1,1,0,1,0,0,1,1
Jan,1,1,0,0,1,1,1,0,0,0,0,1
Ceallach,0,0,0,0,1,0,0,1,0,0,0,0
Guy,0,0,0,0,1,0,0,0,1,0,0,0
Artorius,0,0,0,0,0,0,0,0,0,0,0,0
Julia,1,0,0,0,0,1,0,0,1,0,1,1
Angoulême,0,0,0,0,0,0,0,0,0,0,0,0
Ramon,0,0,0,0,0,0,0,0,1,0,0,0
Dyffryn,0,0,0,0,1,0,0,1,0,0,0,0
Yennefer,1,1,0,1,1,0,1,1,1,1,1,1
Dandelion,1,1,0,0,1,0,0,0,0,1,0,1
Lambert,0,0,0,0,0,0,0,0,0,1,0,0
Cyrus,0,0,0,0,0,0,0,0,0,0,1,0
Nenneke,0,0,0,0,0,1,1,1,1,1,1,0
Jarre,0,1,0,0,0,1,1,0,1,0,1,0
Anzelm,0,0,0,0,0,0,0,0,1,0,0,0
Cahir,1,1,0,0,1,0,1,1,0,1,0,1
Milo,0,0,0,0,0,1,0,0,1,0,1,0
Triss,0,1,0,0,1,1,0,1,1,1,1,1
Fisher,0,1,0,0,0,0,1,0,0,1,0,0
Kelpie,0,0,1,1,0,0,1,1,0,1,0,1
Eredin,0,0,0,1,0,0,1,0,0,0,0,0
Milton,0,0,0,0,0,1,0,0,0,0,0,0
Paulie,0,0,0,0,0,0,0,0,0,0,0,0
Percival,0,0,0,0,0,0,0,0,0,1,0,0
Philippa,1,1,0,0,1,0,0,1,1,0,1,1
Aen,0,0,0,1,0,0,1,1,0,0,0,0
Leon,0,0,0,0,0,0,0,0,0,0,0,0
Demavend,0,0,0,0,0,0,0,0,1,0,1,0
Daniel,0,0,0,0,0,0,0,0,1,0,0,0
Ardal,0,0,0,0,1,0,0,0,1,0,0,0
Geralt,1,1,0,1,1,1,1,1,1,1,1,1
Eskel,0,0,0,0,0,0,0,0,0,1,0,0
Menno,0,0,0,1,0,1,0,0,1,0,0,0
Esterad,0,0,0,0,0,0,0,0,0,0,1,1
Fulko,1,0,0,0,0,0,0,0,0,0,0,0
Ithlinne,0,0,0,1,0,0,1,0,0,0,0,0
Coën,0,0,0,0,0,0,0,0,0,0,0,0
Auberon,0,0,0,1,0,0,0,0,0,0,0,0
Morvran,0,0,0,0,1,0,0,0,0,0,0,0
Emiel,1,0,0,0,0,0,0,1,0,0,0,0
King,1,1,1,1,1,1,1,0,1,1,1,0
Eudora,0,0,0,0,0,0,0,0,0,1,0,0
Fringilla,1,1,0,0,1,0,0,1,0,0,1,1
Field,0,0,0,0,1,1,0,0,1,1,0,0
Elan,0,0,0,0,0,0,0,0,1,0,0,0
Francesca,0,1,0,0,1,0,0,1,0,0,1,1
Hereward,0,0,0,0,0,0,0,0,0,0,0,0
Vilgefortz,0,1,0,0,1,0,0,1,0,0,1,1
Milva,1,1,0,0,1,0,1,1,0,1,0,1
Leo,0,0,0,0,0,0,0,1,0,0,0,0
Braathens,0,0,0,0,0,0,0,1,0,0,0,0
Keira,0,0,0,0,1,0,0,1,0,0,1,1
Rayla,0,0,0,0,0,0,0,0,0,0,1,0
Figgis,0,0,0,0,0,0,0,0,0,1,0,0
Henselt,0,0,0,0,0,0,0,0,1,0,1,0
Nimue,0,1,0,0,0,0,1,0,1,1,0,0
Ethain,0,0,0,0,0,0,0,0,1,0,0,0
Cirilla,0,1,0,0,1,1,0,1,0,0,1,1
Ihuarraquax,0,0,0,1,0,0,1,0,0,1,0,0
Margarita,0,1,0,0,1,0,0,0,0,0,1,1
Forest,0,0,0,0,0,0,0,0,0,0,0,0
Calanthe,0,0,0,0,0,0,0,1,0,0,1,1
Lebioda,0,0,1,0,0,0,0,0,0,0,0,0
Palmerin,1,0,0,0,0,0,0,0,0,0,0,0
Aubry,0,0,0,0,0,0,0,0,1,0,0,0
Barclay,0,0,0,0,0,0,0,0,1,0,1,0
Joachim,0,0,0,1,1,0,0,0,0,0,0,0
Gruffyd,0,0,0,0,0,0,0,1,0,0,0,0
Marti,0,0,0,0,0,0,0,0,1,0,0,0
Puttkammer,0,0,0,0,0,0,0,0,1,0,0,0
Lydia,0,1,0,0,0,0,0,0,0,0,0,0
Dennis,0,0,0,0,0,1,0,0,1,0,0,0
Falka,0,0,0,0,0,1,0,0,0,0,0,1
Foltest,0,0,0,0,0,0,0,0,1,0,1,0
Aillil,0,0,0,0,0,0,0,1,0,0,0,0
Munro,0,0,0,0,0,0,0,0,1,1,0,0
