,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
Ciri,1,1,1,1,1,1,1,1,1,1,1,1
King,1,1,1,1,1,1,1,1,0,1,0,1
Kelpie,1,0,0,0,1,0,1,0,1,0,1,1
Geralt,0,1,1,1,1,1,1,1,1,1,1,1
Emhyr,0,1,1,1,1,1,0,0,1,1,1,0
Yennefer,0,1,1,1,1,0,1,1,1,1,1,1
Jan,0,1,1,1,0,1,1,0,0,0,1,0
Milva,0,1,1,1,0,0,1,0,1,0,1,1
Cahir,0,1,1,1,0,0,1,0,1,0,1,1
Count,0,1,1,1,0,0,0,1,1,1,1,0
Philippa,0,1,1,1,0,0,0,1,1,1,1,0
Fringilla,0,1,1,1,0,0,0,0,1,1,1,0
Triss,0,1,0,1,0,1,0,1,1,1,1,1
Assire,0,1,0,1,0,0,0,1,1,1,1,0
Nenneke,0,0,0,0,0,1,1,1,1,1,0,1
